Temperature (C),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
-5.9216,29.696,1.8398,0.54353,17.476,19.09,82.622,36.736,71.797,215.13,1.5129,14,0.018544,vapor
-5.7773,29.814,1.8482,0.54107,17.474,19.087,82.588,36.774,72.009,215.06,1.5107,14.012,0.018584,vapor
-5.633,29.933,1.8566,0.53861,17.472,19.085,82.555,36.812,72.222,214.99,1.5084,14.025,0.018624,vapor
-5.4888,30.052,1.8651,0.53616,17.471,19.082,82.521,36.85,72.437,214.92,1.5062,14.038,0.018664,vapor
-5.3445,30.172,1.8736,0.53373,17.469,19.079,82.488,36.888,72.653,214.85,1.504,14.05,0.018705,vapor
-5.2003,30.292,1.8822,0.5313,17.467,19.077,82.454,36.926,72.872,214.78,1.5018,14.063,0.018746,vapor
-5.056,30.412,1.8908,0.52889,17.466,19.074,82.421,36.965,73.092,214.71,1.4995,14.076,0.018787,vapor
-4.9117,30.533,1.8994,0.52649,17.464,19.071,82.387,37.003,73.313,214.64,1.4973,14.089,0.018828,vapor
-4.7675,30.653,1.9081,0.52409,17.462,19.069,82.353,37.042,73.537,214.57,1.4951,14.102,0.018869,vapor
-4.6232,30.775,1.9168,0.52171,17.461,19.066,82.32,37.081,73.762,214.5,1.4929,14.115,0.018911,vapor
-4.4789,30.896,1.9255,0.51934,17.459,19.063,82.286,37.119,73.989,214.43,1.4907,14.128,0.018953,vapor
-4.3347,31.018,1.9343,0.51698,17.457,19.061,82.252,37.158,74.218,214.35,1.4885,14.141,0.018995,vapor
-4.1904,31.141,1.9431,0.51463,17.455,19.058,82.218,37.197,74.448,214.28,1.4863,14.155,0.019038,vapor
-4.0461,31.263,1.952,0.5123,17.453,19.055,82.184,37.237,74.681,214.21,1.4841,14.168,0.019081,vapor
-3.9019,31.386,1.9609,0.50997,17.451,19.052,82.15,37.276,74.915,214.14,1.4819,14.181,0.019124,vapor
-3.7576,31.51,1.9699,0.50765,17.45,19.049,82.116,37.315,75.151,214.06,1.4797,14.194,0.019167,vapor
-3.6134,31.634,1.9789,0.50534,17.448,19.046,82.082,37.355,75.389,213.99,1.4775,14.208,0.019211,vapor
-3.4691,31.758,1.9879,0.50304,17.446,19.043,82.048,37.394,75.629,213.92,1.4753,14.221,0.019255,vapor
-3.3248,31.882,1.997,0.50076,17.444,19.04,82.014,37.434,75.872,213.84,1.4731,14.235,0.019299,vapor
-3.1806,32.007,2.0061,0.49848,17.442,19.037,81.98,37.474,76.116,213.77,1.4709,14.248,0.019343,vapor
-3.0363,32.132,2.0153,0.49621,17.44,19.034,81.945,37.514,76.362,213.69,1.4687,14.262,0.019388,vapor
-2.892,32.258,2.0245,0.49395,17.438,19.031,81.911,37.554,76.61,213.62,1.4665,14.275,0.019433,vapor
-2.7478,32.384,2.0337,0.49171,17.436,19.028,81.877,37.594,76.86,213.54,1.4643,14.289,0.019478,vapor
-2.6035,32.51,2.043,0.48947,17.434,19.025,81.842,37.634,77.113,213.47,1.4621,14.303,0.019524,vapor
-2.4592,32.636,2.0524,0.48724,17.432,19.022,81.808,37.675,77.367,213.39,1.4599,14.317,0.01957,vapor
-2.315,32.763,2.0618,0.48502,17.43,19.019,81.773,37.716,77.624,213.31,1.4577,14.331,0.019616,vapor
-2.1707,32.891,2.0712,0.48281,17.428,19.016,81.739,37.756,77.883,213.24,1.4555,14.344,0.019662,vapor
-2.0265,33.019,2.0807,0.48061,17.425,19.012,81.704,37.797,78.144,213.16,1.4533,14.358,0.019709,vapor
-1.8822,33.147,2.0902,0.47842,17.423,19.009,81.669,37.838,78.408,213.08,1.4512,14.372,0.019756,vapor
-1.7379,33.275,2.0998,0.47624,17.421,19.006,81.634,37.879,78.674,213,1.449,14.387,0.019803,vapor
-1.5937,33.404,2.1094,0.47407,17.419,19.002,81.6,37.92,78.942,212.93,1.4468,14.401,0.019851,vapor
-1.4494,33.533,2.119,0.47191,17.417,18.999,81.565,37.962,79.212,212.85,1.4446,14.415,0.019899,vapor
-1.3051,33.663,2.1287,0.46976,17.414,18.996,81.53,38.003,79.485,212.77,1.4424,14.429,0.019948,vapor
-1.1609,33.793,2.1385,0.46762,17.412,18.992,81.495,38.045,79.76,212.69,1.4402,14.444,0.019996,vapor
-1.0166,33.923,2.1483,0.46548,17.41,18.989,81.46,38.087,80.038,212.61,1.438,14.458,0.020045,vapor
-0.87235,34.053,2.1582,0.46336,17.407,18.985,81.425,38.129,80.318,212.53,1.4359,14.472,0.020095,vapor
-0.72809,34.184,2.1681,0.46124,17.405,18.982,81.39,38.171,80.601,212.45,1.4337,14.487,0.020144,vapor
-0.58383,34.316,2.178,0.45914,17.403,18.978,81.354,38.213,80.886,212.37,1.4315,14.501,0.020194,vapor
